BusID;Latitude;Longitude;Zone
1;52.25122049;8.070045459;1
2;52.29693228;8.353353937;1
3;51.88264645;8.719361326;1
5;51.91011822;9.3203;1
6;51.98980717;9.2579;1
7;52.10915302;9.335118766;1
9;51.75226522;9.584495906;1
11;52.10708672;8.752474415;1
12;52.33814691;8.693179477;1
13;52.36536775;8.94369911;1
14;52.4127104;8.834679312;1
15;52.48212518;8.947082275;1
16;52.30160221;9.1937;1
17;52.36250318;9.660452363;1
18;52.603019;9.395527054;1
19;52.46354164;9.422562808;1
20;52.4889931;9.7537;1
21;52.44547418;10.1409;4
22;52.48601236;10.3261;4
23;52.4817812;10.56375888;4
24;52.72032345;11.62566641;3
25;52.4645323;10.82763329;4
27;52.15812588;10.4746;4
28;52.12980798;10.0871;1
29;52.15017967;9.947763763;1
31;52.20512352;9.8317;1
32;52.29461116;10.35529966;4
33;52.64052451;9.204042675;1
34;52.57707379;9.455461122;1
35;52.603019;9.648223;1
37;52.8200495;9.3515;1
39;53.41600975;8.85290958;2
40;53.547357;8.820570864;2
41;53.6957868;8.650382229;2
42;53.84993112;8.828200519;2
43;52.71017268;9.5906;1
44;53.62009845;9.5;2
45;53.6107593;9.6928;2
46;53.50365653;9.8929;2
47;53.6963017;9.9092;2
49;54.14921827;9.908277084;2
50;54.18529409;9.666176658;2
52;53.98807929;9.156115867;2
53;54.05070175;8.602444441;2
54;54.22032928;8.661483164;2
55;54.56079759;8.932421156;2
56;54.39887566;9.17539155;2
57;54.26070699;9.446;2
58;54.2982989;9.430750891;2
59;54.46741859;9.597318868;2
60;54.57872993;9.986062373;2
61;54.46906214;10.46359245;2
62;54.549762;10.25340208;2
65;54.09950335;10.12614877;2
67;54.31882499;10.2492;2
68;53.46673479;11.4895;3
70;52.89277731;11.8752;3
71;52.84481988;11.67287728;3
72;52.77514085;11.5411;3
73;52.90609082;11.461;3
75;52.95348282;12.2095;3
76;53.19401013;12.04104;3
77;53.189049;12.3791;3
78;53.41248263;12.1017;3
79;53.6;11.8471;3
80;53.7;12.37326028;3
82;53.1987855;13;3
83;52.99812261;13.0104;3
85;52.9405948;13.39144981;3
86;52.92460105;13.63412798;3
87;52.90846656;13.79269494;3
88;53.14766093;13.45752234;3
89;53.19714732;14.1920365;3
91;53.56;13.666644;3
93;53.49227081;13.24302265;3
94;53.54988673;13.09361533;3
95;53.42669678;13.0788;3
96;53.3338041;12.9039;3
97;53.47488147;12.6184;3
98;53.70407892;12.8287;3
99;53.74282447;12.9966;3
100;53.76865477;13.28705505;3
101;53.65738539;13.5321;3
102;53.56131536;13.512;3
103;53.76090568;13.58100965;3
104;54.0497212;13.5405391;3
106;54.09291807;13.13061866;3
107;54.33778772;13.69307448;3
108;54;13.76124013;3
109;53.98782005;14.03042139;3
110;54.0522274;14.24390719;3
111;53.59372993;14.19865011;3
112;54.36631804;14.44314915;3
113;52.26603138;9.7162;1
114;52.274939;10.514143;4
117;52.50293267;8.340377708;1
118;53.06913042;12.204;3
119;53;10;1
120;53.2;11;3
121;52.7;10.3;4
122;53.1;9.4;2
123;52.8;11;3
124;53.3;10.5;2
