BranchID;FromBus;ToBus;Pmax;FromDirection;ToDirection
320;39;122;1000;1;0
321;43;119;800;1;0
322;25;121;1000;1;0
323;72;123;500;1;0
324;68;120;1000;1;0
325;46;124;500;1;0
326;119;120;1000;0;0
327;119;124;800;0;0
328;120;124;700;0;0
329;121;123;500;0;0
301;37;39;200;1;-1
126;68;47;200;1;-1
187;24;25;200;1;-1
